,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,home,1650.8,day,1024.4,people,2028.0,coronavirusimpact,1552.0,mask,1051.7,health,1390.9,virus,1569.2,case,6235.4,china,1332.8,trump,3368.7
1,stay,1464.2,time,827.5,would,1204.2,pandemic,1213.4,test,957.1,disease,1055.4,corona,1554.6,new,5370.6,outbreak,797.3,realdonaldtrump,947.6
2,social,769.1,one,800.5,get,982.5,business,702.9,need,934.5,virus,1019.1,like,1145.5,death,5213.8,coronaviruspandemic,675.3,american,871.4
3,year,676.3,get,767.6,think,963.4,impact,685.7,sign,668.3,patient,932.1,people,1079.7,total,2305.1,amid,553.1,president,761.5
4,week,653.1,family,711.4,know,870.8,news,642.2,help,647.5,number,772.4,lockdown,1067.7,confirmed,1855.2,support,518.3,b,731.6
5,people,608.6,due,647.1,like,761.3,crisis,588.9,people,548.5,china,769.7,india,748.5,report,1633.0,pandemic,507.0,pandemic,673.2
6,safe,601.2,thank,599.4,one,734.0,update,545.2,staff,536.8,rate,747.8,make,655.5,reported,1104.9,canada,436.3,c,668.1
7,hand,572.5,please,598.0,hospital,673.0,market,533.3,face,522.9,case,717.7,time,578.0,today,1074.7,supply,411.7,say,531.3
8,take,552.0,back,591.3,really,646.9,read,458.2,know,507.8,name,690.2,testing,578.0,bringing,875.1,act,407.3,response,507.0
9,time,525.6,school,578.1,die,591.9,global,454.5,positive,478.4,infection,582.7,country,566.1,usa,593.5,medical,395.7,state,476.6
10,distancing,517.0,god,572.7,right,570.3,live,403.1,tested,453.7,positive,565.4,world,465.0,state,532.8,official,395.4,potus,419.7
11,going,439.7,help,556.4,flu,558.9,economy,381.5,please,447.6,people,539.5,test,461.4,york,433.1,must,385.6,people,394.6
12,go,435.7,quarantine,522.0,going,516.1,relief,370.1,get,425.3,county,523.1,day,445.3,coronavirusupdate,355.2,ship,322.1,america,390.0
13,keep,408.2,life,518.5,patient,511.0,response,356.0,petition,423.1,flu,450.4,spread,439.0,recovered,351.1,last,316.9,lie,362.2
14,long,389.3,world,506.3,need,494.2,government,351.4,nh,350.1,data,442.0,doe,411.2,number,343.9,flight,307.4,dr,332.1
15,old,388.9,go,478.6,thing,494.0,economic,346.1,protect,318.4,sars,432.4,even,407.0,coronaupdate,337.0,wuhan,277.1,cnn,329.1
16,work,373.4,work,477.7,someone,481.9,latest,330.9,frontline,285.7,update,431.1,get,391.5,uk,319.9,worker,271.6,virus,312.1
17,order,354.7,hope,469.7,even,447.7,check,328.4,business,282.3,world,429.7,look,385.9,toll,318.4,passenger,271.3,news,303.7
18,spread,337.1,love,441.6,say,429.1,help,325.6,change,279.6,official,423.7,symptom,385.7,coronaviruspandemic,288.9,positive,269.2,country,293.6
19,life,310.1,friend,432.6,many,415.3,fund,313.8,priority,274.1,test,404.6,one,380.7,china,280.4,news,268.0,blame,287.1
